"Story","Title","Result","Date","Stability","Duration (s)"
"register in utest","successfully fill out the utest form","PENDING","2024-02-01T21:28:38.33-05:00[America/Bogota]","0.0","0.08"
"register in utest","Book taxi from airport one way","SUCCESS","2024-02-02T09:24:23.07-05:00[America/Bogota]","0.0","7.86"
